name,lat,long,city
127,Austin Straubel International Airport,44.483459,-88.130805,Green Bay
128,Santa Monica Municipal Airport,34.0158,-118.450996,Santa Monica
129,DeKalb Peachtree Airport,33.8755989075,-84.3020019531,Atlanta
130,Centennial Airport,39.57009888,-104.848999,Denver
131,Kissimmee Gateway Airport,28.2898006439,-81.4371032715,Orlando
132,Hilo International Airport,19.721399,-155.048004,Hilo
133,Lakefront Airport,30.042400360107,-90.028297424316,New Orleans
134,South Bend Regional Airport,41.708698,-86.317299,South Bend
135,Springfield Branson National Airport,37.245701,-93.388603,Springfield
136,Rick Husband Amarillo International Airport,35.219398,-101.706001,Amarillo
137,Orlando Executive Airport,28.5455,-81.332901,Orlando
138,Montgomery-Gibbs Executive Airport,32.8157,-117.139999,San Diego
139,San Luis County Regional Airport,35.236801147499996,-120.641998291,San Luis Obispo
140,Scottsdale Airport,33.622898101807,-111.91100311279,Scottsdale
141,Camarillo International Airport,34.213699,-119.094002,Camarillo
142,Bellingham International Airport,48.79280090332031,-122.53800201416016,Bellingham
143,Billings Logan International Airport,45.807701,-108.542999,Billings
144,Fort Wayne International Airport,40.9785,-85.195099,Fort Wayne
145,Sedona Airport,34.848598480225,-111.78800201416,Sedona
146,Gainesville Regional Airport,29.6900997162,-82.2717971802,Gainesville
147,The Eastern Iowa Airport,41.884701,-91.7108,Cedar Rapids
148,Hector International Airport,46.92070007324219,-96.81580352783203,Fargo
149,Sioux Falls Regional Airport / Joe Foss Field,43.585463,-96.741152,Sioux Falls
150,Lakeland Linder International Airport,27.988899,-82.018602,Lakeland
151,Long Island Mac Arthur Airport,40.79520035,-73.10019684,Islip
152,Fairbanks International Airport,64.81510162,-147.8560028,Fairbanks
153,Midland International Air and Space Port,31.942499,-102.202003,Midland
154,Charles M. Schulz Sonoma County Airport,38.50899887,-122.8130035,Santa Rosa
155,McClellan-Palomar Airport,33.1283,-117.279999,Carlsbad
156,Napa County Airport,38.2132,-122.280998,Napa
157,Mahlon Sweet Field,44.12459945678711,-123.21199798583984,Eugene
158,Jackson-Medgar Wiley Evers International Airport,32.311199,-90.075897,Jackson
159,Lincoln Airport,40.85100173950195,-96.75920104980469,Lincoln
160,New York Stewart International Airport,41.504101,-74.104797,Newburgh
161,Wilmington International Airport,34.270599365234375,-77.90260314941406,Wilmington
162,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,Aspen
163,Naples Municipal Airport,26.1525993347,-81.7752990723,Naples
164,Duluth International Airport,46.842098,-92.193604,Duluth
165,Northeast Florida Regional Airport,29.9592,-81.339798,St Augustine
166,Miami-Opa Locka Executive Airport,25.907,-80.278397,Miami
167,Buchanan Field,37.9897003174,-122.056999207,Concord
168,Laurence G Hanscom Field,42.470001,-71.289001,Bedford
169,Mobile Regional Airport,30.6912,-88.242798,Mobile
170,Palo Alto Airport of Santa Clara County,37.461101532,-122.114997864,Palo Alto
171,Melbourne Orlando International Airport,28.1028,-80.645302,Melbourne
